# File generated by CMD 3.2 (http://stev.oapd.inaf.it/cmd) on Thu Mar 28 17:39:31 CET 2019
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR1 G, G_BP and G_RP (Vegamags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: simulations of mass 1.0e4 Msun
# Z         age       Mini           Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.01471132  2.11e+07  0.7562841177   0.756 -0.704  3.6285  4.487    0  0.000  0.538     0.00     0.00 -1 -1.65e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.154e-04 6.498e-03 -1.000 1.477e-02 6.530 6.794 7.547 5.942
0.01471132  2.11e+07  0.1497342885   0.149 -1.948  3.4395  4.271    0  0.000  0.545     0.00     0.00 -1 -2.72e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.641 11.350 13.647 9.922
0.01471132  2.11e+07  0.2093434483   0.209 -1.730  3.4634  4.294    0  0.000  0.545     0.00     0.00 -1 -3.68e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.095 10.521 12.483 9.164
0.01471132  2.11e+07  0.2532942593   0.253 -1.607  3.4764  4.306    0  0.000  0.545     0.00     0.00 -1  -4.4e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 8.786 10.080 11.885 8.760
0.01471132  2.11e+07  0.1075706035   0.108 -2.166  3.4158  4.251    0  0.000  0.545     0.00     0.00 -1 -1.98e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 10.186 12.181 14.829 10.692
0.01471132  2.11e+07  0.1912485510   0.191 -1.788  3.4571  4.288    0  0.000  0.545     0.00     0.00 -1 -3.39e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.240 10.736 12.781 9.360
0.01471132  2.11e+07  0.7514753342   0.752 -0.711  3.6276  4.487    0  0.000  0.538     0.00     0.00 -1 -1.63e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.154e-04 6.498e-03 -1.000 1.477e-02 6.547 6.815 7.572 5.960
0.01471132  2.11e+07  0.1318981498   0.131 -2.033  3.4301  4.262    0  0.000  0.545     0.00     0.00 -1 -2.41e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.852 11.677 14.112 10.224
0.01471132  2.11e+07  0.1127778739   0.113 -2.136  3.4190  4.253    0  0.000  0.545     0.00     0.00 -1 -2.07e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 10.109 12.081 14.701 10.597
0.01471132  2.11e+07  0.2320594639   0.232 -1.662  3.4704  4.300    0  0.000  0.545     0.00     0.00 -1 -4.07e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 8.926 10.280 12.156 8.943
0.01471132  2.11e+07  0.1953484118   0.195 -1.774  3.4586  4.289    0  0.000  0.545     0.00     0.00 -1 -3.46e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.205 10.683 12.706 9.311
0.01471132  2.11e+07  0.1203214005   0.120 -2.092  3.4236  4.257    0  0.000  0.545     0.00     0.00 -1 -2.21e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 10.000 11.915 14.462 10.443
0.01471132  2.11e+07  0.2456888705   0.246 -1.626  3.4743  4.304    0  0.000  0.545     0.00     0.00 -1 -4.28e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 8.835 10.150 11.979 8.824
0.01471132  2.11e+07  1.4342409372   1.435  0.611  3.8397  4.294    0  0.000  0.538     0.00     0.00 -1 -1.15e-13      0.00 7.108e-01 2.744e-01 2.619e-03 7.151e-04 6.495e-03 -1.000 1.477e-02 3.242 3.110 3.294 2.801
0.01471132  2.11e+07  1.2374570370   1.237  0.330  3.8055  4.374    0  0.000  0.538     0.00     0.00 -1 -1.05e-13      0.00 7.108e-01 2.745e-01 2.619e-03 7.152e-04 6.496e-03 -1.000 1.477e-02 3.944 3.804 4.049 3.413
0.01471132  2.11e+07  0.1393313259   0.139 -1.995  3.4342  4.265    0  0.000  0.545     0.00     0.00 -1 -2.54e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.757 11.531 13.905 10.089
0.01471132  2.11e+07  0.0971238613   0.097 -2.232  3.4087  4.244    0  0.000  0.545     0.00     0.00 -1  -1.8e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 10.351 12.352 15.004 10.862
0.01471132  2.11e+07  0.3005119860   0.300 -1.496  3.4885  4.318    0  0.000  0.545     0.00     0.00 -1 -5.13e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 8.511 9.683 11.343 8.403
0.01471132  2.11e+07  0.2031172365   0.203 -1.750  3.4614  4.293    0  0.000  0.545     0.00     0.00 -1 -3.56e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.144 10.592 12.578 9.228
0.01471132  2.11e+07  0.8994473219   0.899 -0.425  3.6690  4.445    0  0.000  0.538     0.00     0.00 -1 -2.98e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.154e-04 6.498e-03 -1.000 1.477e-02 5.832 5.899 6.481 5.177
0.01471132  2.11e+07  0.1813617647   0.181 -1.822  3.4534  4.284    0  0.000  0.545     0.00     0.00 -1 -3.24e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.326 10.867 12.966 9.479
0.01471132  2.11e+07  0.2105237395   0.210 -1.726  3.4638  4.294    0  0.000  0.545     0.00     0.00 -1  -3.7e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.085 10.508 12.465 9.151
0.01471132  2.11e+07  0.5023580194   0.503 -1.170  3.5249  4.361    0  0.000  0.545     0.00     0.00 -1    -8e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 7.696 8.588 9.938 7.411
0.01471132  2.11e+07  0.0976572707   0.098 -2.229  3.4091  4.245    0  0.000  0.545     0.00     0.00 -1 -1.81e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 10.342 12.343 14.995 10.853
0.01471132  2.11e+07  0.1403783411   0.140 -1.990  3.4347  4.266    0  0.000  0.545     0.00     0.00 -1 -2.56e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.744 11.511 13.877 10.071
0.01471132  2.11e+07  1.0885391235   1.088  0.137  3.7608  4.333    0  0.000  0.538     0.00     0.00 -1 -9.76e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.154e-04 6.497e-03 -1.000 1.477e-02 4.428 4.293 4.632 3.794
0.01471132  2.11e+07  0.1076744348   0.108 -2.166  3.4158  4.251    0  0.000  0.545     0.00     0.00 -1 -1.98e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 10.184 12.179 14.826 10.690
0.01471132  2.11e+07  0.2901876569   0.290 -1.519  3.4859  4.315    0  0.000  0.545     0.00     0.00 -1 -4.97e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 8.568 9.766 11.457 8.477
0.01471132  2.11e+07  0.1327535808   0.132 -2.028  3.4305  4.262    0  0.000  0.545     0.00     0.00 -1 -2.42e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.841 11.660 14.088 10.209
0.01471132  2.11e+07  0.1431882530   0.143 -1.977  3.4362  4.267    0  0.000  0.545     0.00     0.00 -1 -2.61e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.713 11.463 13.808 10.026
0.01471132  2.11e+07  0.1662346274   0.166 -1.879  3.4473  4.279    0  0.000  0.545     0.00     0.00 -1 -2.99e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.468 11.082 13.269 9.676
0.01471132  2.11e+07  0.2591845095   0.259 -1.592  3.4780  4.307    0  0.000  0.545     0.00     0.00 -1 -4.49e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 8.750 10.028 11.815 8.714
0.01471132  2.11e+07  0.1857962012   0.186 -1.806  3.4551  4.286    0  0.000  0.545     0.00     0.00 -1 -3.31e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.286 10.806 12.881 9.424
0.01471132  2.11e+07  0.1383654624   0.138 -2.000  3.4336  4.265    0  0.000  0.545     0.00     0.00 -1 -2.53e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.769 11.550 13.932 10.106
0.01471132  2.11e+07  0.1320781410   0.132 -2.032  3.4302  4.262    0  0.000  0.545     0.00     0.00 -1 -2.41e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.849 11.674 14.107 10.221
0.01471132  2.11e+07  0.6238643527   0.624 -1.009  3.5463  4.379    0  0.000  0.545     0.00     0.00 -1 -1.02e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 7.292 8.040 9.238 6.927
0.01471132  2.11e+07  0.1239449158   0.124 -2.073  3.4256  4.258    0  0.000  0.545     0.00     0.00 -1 -2.27e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.953 11.840 14.353 10.374
0.01471132  2.11e+07  0.9328912497   0.932 -0.338  3.6838  4.433    0  0.000  0.538     0.00     0.00 -1 -3.62e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.154e-04 6.498e-03 -1.000 1.477e-02 5.616 5.628 6.160 4.946
0.01471132  2.11e+07  0.3522257507   0.352 -1.398  3.4990  4.331    0  0.000  0.545     0.00     0.00 -1 -5.86e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 8.265 9.348 10.908 8.098
0.01471132  2.11e+07  0.1171566844   0.117 -2.110  3.4217  4.255    0  0.000  0.545     0.00     0.00 -1 -2.15e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 10.045 11.987 14.568 10.509
0.01471132  2.11e+07  0.1552881151   0.155 -1.924  3.4423  4.274    0  0.000  0.545     0.00     0.00 -1 -2.81e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.580 11.255 13.513 9.835
0.01471132  2.11e+07  0.2300575376   0.230 -1.668  3.4698  4.299    0  0.000  0.545     0.00     0.00 -1 -4.03e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 8.941 10.301 12.184 8.962
0.01471132  2.11e+07  3.4901766777   3.488  2.183  4.1426  4.320    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.107e-01 2.745e-01 2.620e-03 7.155e-04 6.498e-03 -1.000 1.477e-02 -0.688 0.270 0.200 0.391
0.01471132  2.11e+07  0.1801847368   0.180 -1.827  3.4529  4.284    0  0.000  0.545     0.00     0.00 -1 -3.22e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.337 10.883 12.989 9.494
0.01471132  2.11e+07  0.1544058323   0.154 -1.928  3.4418  4.273    0  0.000  0.545     0.00     0.00 -1 -2.79e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.590 11.270 13.534 9.849
0.01471132  2.11e+07  0.2745789289   0.275 -1.555  3.4821  4.311    0  0.000  0.545     0.00     0.00 -1 -4.73e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 8.656 9.893 11.632 8.592
0.01471132  2.11e+07  0.7211781144   0.721 -0.813  3.5917  4.427    0  0.000  0.542     0.00     0.00 -1 -1.41e-14      0.00 7.107e-01 2.745e-01 2.640e-03 7.159e-04 6.497e-03 -1.000 1.477e-02 6.802 7.261 8.184 6.296
0.01471132  2.11e+07  0.3169971704   0.317 -1.464  3.4919  4.322    0  0.000  0.545     0.00     0.00 -1 -5.37e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 8.430 9.571 11.195 8.301
0.01471132  2.11e+07  0.1348260194   0.134 -2.018  3.4317  4.263    0  0.000  0.545     0.00     0.00 -1 -2.46e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.814 11.620 14.031 10.171
0.01471132  2.11e+07  0.3774224520   0.377 -1.355  3.5035  4.335    0  0.000  0.545     0.00     0.00 -1 -6.22e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 8.159 9.207 10.729 7.970
0.01471132  2.11e+07  0.1251896173   0.125 -2.067  3.4263  4.259    0  0.000  0.545     0.00     0.00 -1 -2.29e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.938 11.815 14.315 10.351
0.01471132  2.11e+07  0.1926297694   0.193 -1.783  3.4576  4.288    0  0.000  0.545     0.00     0.00 -1 -3.41e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.228 10.718 12.756 9.343
0.01471132  2.11e+07  0.0967687145   0.097 -2.235  3.4084  4.244    0  0.000  0.545     0.00     0.00 -1  -1.8e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 10.357 12.358 15.010 10.868
0.01471132  2.11e+07  0.1470580101   0.147 -1.960  3.4381  4.269    0  0.000  0.545     0.00     0.00 -1 -2.67e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.671 11.396 13.713 9.965
0.01471132  2.11e+07  0.2877378464   0.287 -1.525  3.4853  4.315    0  0.000  0.545     0.00     0.00 -1 -4.93e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 8.582 9.786 11.485 8.495
0.01471132  2.11e+07  0.2680561244   0.268 -1.570  3.4803  4.310    0  0.000  0.545     0.00     0.00 -1 -4.63e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 8.696 9.951 11.709 8.643
0.01471132  2.11e+07  1.6087137461   1.609  0.844  3.8944  4.331    0  0.000  0.538     0.00     0.00 -1 -6.02e-14      0.00 7.109e-01 2.743e-01 2.619e-03 7.149e-04 6.493e-03 -1.000 1.477e-02 2.661 2.565 2.664 2.390
0.01471132  2.11e+07  0.1073726267   0.107 -2.167  3.4156  4.251    0  0.000  0.545     0.00     0.00 -1 -1.98e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 10.189 12.185 14.834 10.696
0.01471132  2.11e+07  0.1429538429   0.143 -1.978  3.4360  4.267    0  0.000  0.545     0.00     0.00 -1  -2.6e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.716 11.467 13.814 10.030
0.01471132  2.11e+07  0.2836856246   0.283 -1.534  3.4843  4.314    0  0.000  0.545     0.00     0.00 -1 -4.87e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 8.605 9.819 11.530 8.525
0.01471132  2.11e+07  0.1368261725   0.137 -2.007  3.4328  4.264    0  0.000  0.545     0.00     0.00 -1  -2.5e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.789 11.580 13.975 10.134
0.01471132  2.11e+07  0.1173068359   0.117 -2.109  3.4218  4.255    0  0.000  0.545     0.00     0.00 -1 -2.15e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 10.043 11.984 14.563 10.506
0.01471132  2.11e+07  0.2842129469   0.284 -1.533  3.4845  4.314    0  0.000  0.545     0.00     0.00 -1 -4.88e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 8.602 9.815 11.524 8.521
0.01471132  2.11e+07  0.2991796732   0.299 -1.499  3.4882  4.318    0  0.000  0.545     0.00     0.00 -1 -5.11e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 8.518 9.693 11.357 8.412
0.01471132  2.11e+07  0.1575159431   0.157 -1.914  3.4434  4.275    0  0.000  0.545     0.00     0.00 -1 -2.85e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.556 11.217 13.459 9.800
0.01471132  2.11e+07  0.2720218599   0.272 -1.561  3.4814  4.311    0  0.000  0.545     0.00     0.00 -1 -4.69e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 8.672 9.916 11.662 8.612
0.01471132  2.11e+07  0.1226593703   0.122 -2.080  3.4249  4.258    0  0.000  0.545     0.00     0.00 -1 -2.25e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.970 11.867 14.391 10.399
0.01471132  2.11e+07  0.4110860527   0.411 -1.300  3.5095  4.342    0  0.000  0.545     0.00     0.00 -1 -6.71e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 8.021 9.024 10.497 7.803
0.01471132  2.11e+07  0.2003353983   0.200 -1.758  3.4605  4.292    0  0.000  0.545     0.00     0.00 -1 -3.52e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.165 10.623 12.621 9.257
